DeMar DeRozan,35,78,CHI,F,11,https://www.basketball-reference.com/req/202106291/images/headshots/derozde01.jpg
Coby White,24,77,CHI,G,0,https://www.basketball-reference.com/req/202106291/images/headshots/whiteco01.jpg
Ayo Dosunmu,24,77,CHI,G,12,https://www.basketball-reference.com/req/202106291/images/headshots/dosunay01.jpg
Jevon Carter,29,73,CHI,G,5,https://www.basketball-reference.com/req/202106291/images/headshots/carteje01.jpg
Nikola Vucevic,34,82,CHI,C,9,https://www.basketball-reference.com/req/202106291/images/headshots/vucevni01.jpg
Alex Caruso,30,77,CHI,G,6,https://www.basketball-reference.com/req/202106291/images/headshots/carusal01.jpg
Dalen Terry,22,79,CHI,G,25,https://www.basketball-reference.com/req/202106291/images/headshots/terryda01.jpg
Patrick Williams,23,79,CHI,F,44,https://www.basketball-reference.com/req/202106291/images/headshots/willipa01.jpg
Julian Phillips,21,80,CHI,F,15,https://www.basketball-reference.com/req/202106291/images/headshots/phillju01.jpg
Torrey Craig,34,79,CHI,F,13,https://www.basketball-reference.com/req/202106291/images/headshots/craigto01.jpg
Terry Taylor,25,77,CHI,F,32,https://www.basketball-reference.com/req/202106291/images/headshots/taylote01.jpg
Zach LaVine,29,77,CHI,G,8,https://www.basketball-reference.com/req/202106291/images/headshots/lavinza01.jpg
Onuralp Bitim,25,78,CHI,G,17,https://www.basketball-reference.com/req/202106291/images/headshots/bitimon01.jpg
Adama Sanogo,22,81,CHI,F,21,https://www.basketball-reference.com/req/202106291/images/headshots/sanogad01.jpg
Andrew Funk,25,77,CHI,G,30,
Henri Drell,24,81,CHI,F,77,https://www.basketball-reference.com/req/202106291/images/headshots/drellhe01.jpg
Lonzo Ball,27,78,CHI,G,0,https://www.basketball-reference.com/req/202106291/images/headshots/balllo01.jpg
Georges Niang,31,79,CLE,F,20,https://www.basketball-reference.com/req/202106291/images/headshots/niangge01.jpg
Jarrett Allen,26,83,CLE,C,31,https://www.basketball-reference.com/req/202106291/images/headshots/allenja01.jpg
Max Strus,28,77,CLE,F,1,https://www.basketball-reference.com/req/202106291/images/headshots/strusma01.jpg
Isaac Okoro,23,77,CLE,F,35,https://www.basketball-reference.com/req/202106291/images/headshots/okorois01.jpg
Caris LeVert,30,78,CLE,G,3,https://www.basketball-reference.com/req/202106291/images/headshots/leverca01.jpg
Dean Wade,28,81,CLE,F,32,https://www.basketball-reference.com/req/202106291/images/headshots/wadede01.jpg
Donovan Mitchell,28,75,CLE,G,45,https://www.basketball-reference.com/req/202106291/images/headshots/mitchdo01.jpg
Sam Merrill,28,76,CLE,G,5,https://www.basketball-reference.com/req/202106291/images/headshots/merrisa01.jpg
Darius Garland,24,73,CLE,G,10,https://www.basketball-reference.com/req/202106291/images/headshots/garlada01.jpg
Craig Porter Jr.,24,74,CLE,G,9,https://www.basketball-reference.com/req/202106291/images/headshots/portecr01.jpg
Evan Mobley,23,83,CLE,F,4,https://www.basketball-reference.com/req/202106291/images/headshots/mobleev01.jpg
Tristan Thompson,33,81,CLE,C,0,https://www.basketball-reference.com/req/202106291/images/headshots/thomptr01.jpg
Damian Jones,29,83,CLE,C,30,https://www.basketball-reference.com/req/202106291/images/headshots/jonesda03.jpg
Emoni Bates,20,82,CLE,F,21,https://www.basketball-reference.com/req/202106291/images/headshots/batesem01.jpg
Isaiah Mobley,25,80,CLE,F,15,https://www.basketball-reference.com/req/202106291/images/headshots/mobleis01.jpg
Pete Nance,24,83,CLE,F,8,https://www.basketball-reference.com/req/202106291/images/headshots/nancepe01.jpg
Ty Jerome,27,77,CLE,G,2,https://www.basketball-reference.com/req/202106291/images/headshots/jeromty01.jpg
Tim Hardaway Jr.,32,77,DAL,F,10,https://www.basketball-reference.com/req/202106291/images/headshots/hardati02.jpg
Derrick Jones Jr.,27,77,DAL,F,55,https://www.basketball-reference.com/req/202106291/images/headshots/jonesde02.jpg
Jaden Hardy,22,76,DAL,G,1,https://www.basketball-reference.com/req/202106291/images/headshots/hardyja02.jpg
Luka Doncic,25,79,DAL,G,77,https://www.basketball-reference.com/req/202106291/images/headshots/doncilu01.jpg
Josh Green,24,77,DAL,G,8,https://www.basketball-reference.com/req/202106291/images/headshots/greenjo02.jpg
Dwight Powell,33,82,DAL,C,7,https://www.basketball-reference.com/req/202106291/images/headshots/poweldw01.jpg
Dereck Lively II,20,85,DAL,C,2,https://www.basketball-reference.com/req/202106291/images/headshots/livelde01.jpg
Kyrie Irving,32,74,DAL,G,11,https://www.basketball-reference.com/req/202106291/images/headshots/irvinky01.jpg
Dante Exum,29,77,DAL,G,0,https://www.basketball-reference.com/req/202106291/images/headshots/exumda01.jpg
Olivier-Maxence Prosper,22,80,DAL,F,18,https://www.basketball-reference.com/req/202106291/images/headshots/prospol01.jpg
A.J. Lawson,24,78,DAL,G,9,https://www.basketball-reference.com/req/202106291/images/headshots/lawsoaj01.jpg
Maxi Kleber,32,82,DAL,C,42,https://www.basketball-reference.com/req/202106291/images/headshots/klebima01.jpg
Markieff Morris,35,81,DAL,F,88,https://www.basketball-reference.com/req/202106291/images/headshots/morrima02.jpg
Daniel Gafford,26,82,DAL,F,21,https://www.basketball-reference.com/req/202106291/images/headshots/gaffoda01.jpg
P.J. Washington,26,79,DAL,F,25,https://www.basketball-reference.com/req/202106291/images/headshots/washipj01.jpg
Brandon Williams,25,74,DAL,G,0,https://www.basketball-reference.com/req/202106291/images/headshots/willibr03.jpg
Greg Brown III,23,79,DAL,F,13,https://www.basketball-reference.com/req/202106291/images/headshots/browngr01.jpg
Alex Fudge,21,80,DAL,F,0,https://www.basketball-reference.com/req/202106291/images/headshots/fudgeal01.jpg
Reggie Jackson,34,74,DEN,G,7,https://www.basketball-reference.com/req/202106291/images/headshots/jacksre01.jpg
Christian Braun,23,78,DEN,G,0,https://www.basketball-reference.com/req/202106291/images/headshots/braunch01.jpg
Michael Porter Jr.,26,82,DEN,F,1,https://www.basketball-reference.com/req/202106291/images/headshots/portemi01.jpg
Nikola Jokic,29,83,DEN,C,15,https://www.basketball-reference.com/req/202106291/images/headshots/jokicni01.jpg
Peyton Watson,22,80,DEN,F,8,https://www.basketball-reference.com/req/202106291/images/headshots/watsope01.jpg
Aaron Gordon,29,80,DEN,F,50,https://www.basketball-reference.com/req/202106291/images/headshots/gordoaa01.jpg
Kentavious Caldwell-Pope,31,77,DEN,G,5,https://www.basketball-reference.com/req/202106291/images/headshots/caldwke01.jpg
Zeke Nnaji,23,81,DEN,F,22,https://www.basketball-reference.com/req/202106291/images/headshots/nnajize01.jpg
Jamal Murray,27,76,DEN,G,27,https://www.basketball-reference.com/req/202106291/images/headshots/murraja01.jpg
Justin Holiday,35,78,DEN,G,9,https://www.basketball-reference.com/req/202106291/images/headshots/holidju01.jpg
Julian Strawther,22,79,DEN,F,3,https://www.basketball-reference.com/req/202106291/images/headshots/strawju01.jpg
DeAndre Jordan,36,83,DEN,C,6,https://www.basketball-reference.com/req/202106291/images/headshots/jordade01.jpg
Jalen Pickett,25,76,DEN,G,24,https://www.basketball-reference.com/req/202106291/images/headshots/pickeja02.jpg
Collin Gillespie,25,73,DEN,G,21,https://www.basketball-reference.com/req/202106291/images/headshots/gilleco01.jpg
Braxton Key,27,80,DEN,F,11,https://www.basketball-reference.com/req/202106291/images/headshots/keybr01.jpg
Jay Huff,26,85,DEN,C,30,https://www.basketball-reference.com/req/202106291/images/headshots/huffja01.jpg
Hunter Tyson,24,80,DEN,F,4,https://www.basketball-reference.com/req/202106291/images/headshots/tysonhu01.jpg
Vlatko Cancar,27,80,DEN,F,0,https://www.basketball-reference.com/req/202106291/images/headshots/cancavl01.jpg
Jaden Ivey,22,76,DET,G,23,https://www.basketball-reference.com/req/202106291/images/headshots/iveyja01.jpg
Ausar Thompson,21,79,DET,F,9,https://www.basketball-reference.com/req/202106291/images/headshots/thompau01.jpg
Marcus Sasser,24,74,DET,G,25,https://www.basketball-reference.com/req/202106291/images/headshots/sassema01.jpg
Cade Cunningham,23,78,DET,G,2,https://www.basketball-reference.com/req/202106291/images/headshots/cunnica01.jpg
Jalen Duren,21,82,DET,C,0,https://www.basketball-reference.com/req/202106291/images/headshots/durenja01.jpg
James Wiseman,23,84,DET,C,13,https://www.basketball-reference.com/req/202106291/images/headshots/wisemja01.jpg
Isaiah Stewart,23,80,DET,F,28,https://www.basketball-reference.com/req/202106291/images/headshots/stewais01.jpg
Stanley Umude,25,78,DET,G,17,https://www.basketball-reference.com/req/202106291/images/headshots/umudest01.jpg
Simone Fontecchio,29,80,DET,F,19,https://www.basketball-reference.com/req/202106291/images/headshots/fontesi01.jpg
Evan Fournier,32,78,DET,G,31,https://www.basketball-reference.com/req/202106291/images/headshots/fournev01.jpg
Malachi Flynn,26,73,DET,G,14,https://www.basketball-reference.com/req/202106291/images/headshots/flynnma01.jpg
Troy Brown Jr.,25,78,DET,F,7,https://www.basketball-reference.com/req/202106291/images/headshots/browntr01.jpg
Quentin Grimes,24,77,DET,G,24,https://www.basketball-reference.com/req/202106291/images/headshots/grimequ01.jpg
Jared Rhoden,25,78,DET,G,8,https://www.basketball-reference.com/req/202106291/images/headshots/rhodeja01.jpg
Tosan Evbuomwan,23,80,DET,F,18,
Buddy Boeheim,25,78,DET,F,0,https://www.basketball-reference.com/req/202106291/images/headshots/boehebu01.jpg
Taj Gibson,39,81,DET,F,0,https://www.basketball-reference.com/req/202106291/images/headshots/gibsota01.jpg
Jonathan Kuminga,22,80,GSW,F,0,https://www.basketball-reference.com/req/202106291/images/headshots/kuminjo01.jpg
Klay Thompson,34,78,GSW,F,11,https://www.basketball-reference.com/req/202106291/images/headshots/thompkl01.jpg
Kevon Looney,28,81,GSW,C,5,https://www.basketball-reference.com/req/202106291/images/headshots/looneke01.jpg
Dario Saric,30,82,GSW,C,20,https://www.basketball-reference.com/req/202106291/images/headshots/saricda01.jpg
Stephen Curry,36,74,GSW,G,30,https://www.basketball-reference.com/req/202106291/images/headshots/curryst01.jpg
Brandin Podziemski,21,77,GSW,G,2,https://www.basketball-reference.com/req/202106291/images/headshots/podzibr01.jpg
Andrew Wiggins,29,79,GSW,F,22,https://www.basketball-reference.com/req/202106291/images/headshots/wiggian01.jpg
Trayce Jackson-Davis,24,81,GSW,F,32,https://www.basketball-reference.com/req/202106291/images/headshots/jackstr02.jpg
Moses Moody,22,78,GSW,G,4,https://www.basketball-reference.com/req/202106291/images/headshots/moodymo01.jpg
Chris Paul,39,72,GSW,G,3,https://www.basketball-reference.com/req/202106291/images/headshots/paulch01.jpg
Draymond Green,34,78,GSW,F,23,https://www.basketball-reference.com/req/202106291/images/headshots/greendr01.jpg
Gary Payton II,32,74,GSW,G,0,https://www.basketball-reference.com/req/202106291/images/headshots/paytoga02.jpg
Lester Quinones,24,77,GSW,G,25,https://www.basketball-reference.com/req/202106291/images/headshots/quinole01.jpg
Gui Santos,22,80,GSW,F,15,
Jerome Robinson,27,76,GSW,G,18,https://www.basketball-reference.com/req/202106291/images/headshots/robinje01.jpg
Usman Garuba,22,80,GSW,F,12,https://www.basketball-reference.com/req/202106291/images/headshots/garubus01.jpg
Pat Spencer,28,75,GSW,G,61,https://www.basketball-reference.com/req/202106291/images/headshots/spencpa01.jpg
Jalen Green,22,76,HOU,G,4,https://www.basketball-reference.com/req/202106291/images/headshots/greenja05.jpg
Aaron Holiday,28,72,HOU,G,0,https://www.basketball-reference.com/req/202106291/images/headshots/holidaa01.jpg
Alperen Sengun,22,83,HOU,C,28,https://www.basketball-reference.com/req/202106291/images/headshots/sengual01.jpg
Jeff Green,38,80,HOU,F,32,https://www.basketball-reference.com/req/202106291/images/headshots/greenje02.jpg
Jabari Smith Jr.,21,83,HOU,F,10,https://www.basketball-reference.com/req/202106291/images/headshots/smithja05.jpg
Fred VanVleet,30,72,HOU,G,5,https://www.basketball-reference.com/req/202106291/images/headshots/vanvlfr01.jpg
Dillon Brooks,28,78,HOU,F,9,https://www.basketball-reference.com/req/202106291/images/headshots/brookdi01.jpg
Jae'Sean Tate,29,76,HOU,F,8,https://www.basketball-reference.com/req/202106291/images/headshots/tateja01.jpg
Amen Thompson,21,79,HOU,F,1,https://www.basketball-reference.com/req/202106291/images/headshots/thompam01.jpg
Jock Landale,29,83,HOU,C,2,https://www.basketball-reference.com/req/202106291/images/headshots/landajo01.jpg
Cam Whitmore,20,79,HOU,F,7,https://www.basketball-reference.com/req/202106291/images/headshots/whitmca01.jpg
Reggie Bullock,33,78,HOU,F,25,https://www.basketball-reference.com/req/202106291/images/headshots/bullore01.jpg
Tari Eason,23,80,HOU,F,17,https://www.basketball-reference.com/req/202106291/images/headshots/easonta01.jpg
Jeenathan Williams,25,77,HOU,G,19,https://www.basketball-reference.com/req/202106291/images/headshots/willije02.jpg
Nate Hinton,25,77,HOU,G,14,https://www.basketball-reference.com/req/202106291/images/headshots/hintona01.jpg
Jermaine Samuels,26,79,HOU,F,0,https://www.basketball-reference.com/req/202106291/images/headshots/samueje01.jpg
Boban Marjanovic,36,88,HOU,C,51,https://www.basketball-reference.com/req/202106291/images/headshots/marjabo01.jpg
Steven Adams,31,83,HOU,C,0,https://www.basketball-reference.com/req/202106291/images/headshots/adamsst01.jpg
Obi Toppin,26,81,IND,F,1,https://www.basketball-reference.com/req/202106291/images/headshots/toppiob01.jpg
Myles Turner,28,83,IND,C,33,https://www.basketball-reference.com/req/202106291/images/headshots/turnemy01.jpg
Bennedict Mathurin,22,78,IND,F,0,https://www.basketball-reference.com/req/202106291/images/headshots/mathube01.jpg
Aaron Nesmith,25,77,IND,F,23,https://www.basketball-reference.com/req/202106291/images/headshots/nesmiaa01.jpg
T.J. McConnell,32,73,IND,G,9,https://www.basketball-reference.com/req/202106291/images/headshots/mccontj01.jpg
Tyrese Haliburton,24,77,IND,G,0,https://www.basketball-reference.com/req/202106291/images/headshots/halibty01.jpg
Andrew Nembhard,24,77,IND,G,2,https://www.basketball-reference.com/req/202106291/images/headshots/nembhan01.jpg
Isaiah Jackson,22,82,IND,C,22,https://www.basketball-reference.com/req/202106291/images/headshots/jacksis01.jpg
Jalen Smith,24,82,IND,C,25,https://www.basketball-reference.com/req/202106291/images/headshots/smithja04.jpg
Ben Sheppard,23,78,IND,G,26,https://www.basketball-reference.com/req/202106291/images/headshots/sheppbe01.jpg
Pascal Siakam,30,80,IND,F,43,https://www.basketball-reference.com/req/202106291/images/headshots/siakapa01.jpg
Jarace Walker,21,80,IND,F,5,https://www.basketball-reference.com/req/202106291/images/headshots/walkeja02.jpg
Kendall Brown,21,80,IND,G,10,https://www.basketball-reference.com/req/202106291/images/headshots/brownke03.jpg
Oscar Tshiebwe,25,81,IND,F,44,https://www.basketball-reference.com/req/202106291/images/headshots/tshieos01.jpg
Doug McDermott,32,78,IND,F,20,https://www.basketball-reference.com/req/202106291/images/headshots/mcderdo01.jpg
James Johnson,37,79,IND,F,16,https://www.basketball-reference.com/req/202106291/images/headshots/johnsja01.jpg
Quenton Jackson,26,77,IND,G,29,https://www.basketball-reference.com/req/202106291/images/headshots/jacksqu01.jpg
Isaiah Wong,23,76,IND,G,21,https://www.basketball-reference.com/req/202106291/images/headshots/wongis01.jpg
Norman Powell,31,75,LAC,G,24,https://www.basketball-reference.com/req/202106291/images/headshots/powelno01.jpg
Kawhi Leonard,33,79,LAC,F,2,https://www.basketball-reference.com/req/202106291/images/headshots/leonaka01.jpg
Paul George,34,80,LAC,F,13,https://www.basketball-reference.com/req/202106291/images/headshots/georgpa01.jpg
Terance Mann,28,77,LAC,G,14,https://www.basketball-reference.com/req/202106291/images/headshots/mannte01.jpg
James Harden,35,77,LAC,G,1,https://www.basketball-reference.com/req/202106291/images/headshots/hardeja01.jpg
Russell Westbrook,36,76,LAC,G,0,https://www.basketball-reference.com/req/202106291/images/headshots/westbru01.jpg
Ivica Zubac,27,84,LAC,C,40,https://www.basketball-reference.com/req/202106291/images/headshots/zubaciv01.jpg
Amir Coffey,27,79,LAC,F,7,https://www.basketball-reference.com/req/202106291/images/headshots/coffeam01.jpg
Daniel Theis,32,80,LAC,C,10,https://www.basketball-reference.com/req/202106291/images/headshots/theisda01.jpg
Kobe Brown,24,79,LAC,F,21,https://www.basketball-reference.com/req/202106291/images/headshots/brownko01.jpg
Mason Plumlee,34,82,LAC,C,44,https://www.basketball-reference.com/req/202106291/images/headshots/plumlma01.jpg
Bones Hyland,24,74,LAC,G,5,https://www.basketball-reference.com/req/202106291/images/headshots/hylanbo01.jpg
Brandon Boston Jr.,23,79,LAC,F,4,https://www.basketball-reference.com/req/202106291/images/headshots/bostobr01.jpg
P.J. Tucker,39,77,LAC,F,17,https://www.basketball-reference.com/req/202106291/images/headshots/tuckepj01.jpg
Moussa Diabate,22,83,LAC,C,25,https://www.basketball-reference.com/req/202106291/images/headshots/diabamo01.jpg
Jordan Miller,24,79,LAC,F,11,https://www.basketball-reference.com/req/202106291/images/headshots/millejo02.jpg
Xavier Moon,29,74,LAC,G,22,https://www.basketball-reference.com/req/202106291/images/headshots/moonxa01.jpg
Joshua Primo,22,78,LAC,G,12,https://www.basketball-reference.com/req/202106291/images/headshots/primojo01.jpg
Austin Reaves,26,77,LAL,G,15,https://www.basketball-reference.com/req/202106291/images/headshots/reaveau01.jpg
Taurean Prince,30,78,LAL,F,12,https://www.basketball-reference.com/req/202106291/images/headshots/princta02.jpg
Anthony Davis,31,82,LAL,C,3,https://www.basketball-reference.com/req/202106291/images/headshots/davisan02.jpg
D'Angelo Russell,28,75,LAL,G,1,https://www.basketball-reference.com/req/202106291/images/headshots/russeda01.jpg
LeBron James,40,81,LAL,F,23,https://www.basketball-reference.com/req/202106291/images/headshots/jamesle01.jpg
Jaxson Hayes,24,84,LAL,C,11,https://www.basketball-reference.com/req/202106291/images/headshots/hayesja02.jpg
Rui Hachimura,26,80,LAL,F,28,https://www.basketball-reference.com/req/202106291/images/headshots/hachiru01.jpg
Max Christie,21,78,LAL,G,10,https://www.basketball-reference.com/req/202106291/images/headshots/chrisma02.jpg
Christian Wood,29,80,LAL,F,35,https://www.basketball-reference.com/req/202106291/images/headshots/woodch01.jpg
Cam Reddish,25,80,LAL,F,5,https://www.basketball-reference.com/req/202106291/images/headshots/reddica01.jpg
Jarred Vanderbilt,25,80,LAL,F,2,https://www.basketball-reference.com/req/202106291/images/headshots/vandeja01.jpg
Maxwell Lewis,22,79,LAL,F,21,https://www.basketball-reference.com/req/202106291/images/headshots/lewisma05.jpg
Jalen Hood-Schifino,21,78,LAL,G,0,https://www.basketball-reference.com/req/202106291/images/headshots/hoodsja01.jpg
Spencer Dinwiddie,31,77,LAL,G,26,https://www.basketball-reference.com/req/202106291/images/headshots/dinwisp01.jpg
Skylar Mays,27,76,LAL,G,4,https://www.basketball-reference.com/req/202106291/images/headshots/mayssk01.jpg
Colin Castleton,24,83,LAL,C,14,https://www.basketball-reference.com/req/202106291/images/headshots/castlco01.jpg
Gabe Vincent,28,75,LAL,G,7,https://www.basketball-reference.com/req/202106291/images/headshots/vincega01.jpg
Harry Giles,26,83,LAL,C,20,https://www.basketball-reference.com/req/202106291/images/headshots/gilesha01.jpg
Jaren Jackson Jr.,25,82,MEM,C,13,https://www.basketball-reference.com/req/202106291/images/headshots/jacksja02.jpg
Santi Aldama,23,83,MEM,F,7,https://www.basketball-reference.com/req/202106291/images/headshots/aldamsa01.jpg
Vince Williams Jr.,24,76,MEM,G,5,https://www.basketball-reference.com/req/202106291/images/headshots/willivi01.jpg
John Konchar,28,77,MEM,F,46,https://www.basketball-reference.com/req/202106291/images/headshots/konchjo01.jpg
Ziaire Williams,23,81,MEM,F,8,https://www.basketball-reference.com/req/202106291/images/headshots/willizi02.jpg
Desmond Bane,26,77,MEM,G,22,https://www.basketball-reference.com/req/202106291/images/headshots/banede01.jpg
Luke Kennard,28,77,MEM,G,10,https://www.basketball-reference.com/req/202106291/images/headshots/kennalu01.jpg
